Round,Accuracy
1,0.1032
2,0.1436
3,0.1627
4,0.187
5,0.2109
6,0.2309
7,0.2451
8,0.257
9,0.2708
10,0.2819
11,0.2957
12,0.3189
13,0.3463
14,0.3799
15,0.4202
16,0.4739
17,0.5252
18,0.5607
19,0.5832
20,0.6021
21,0.6294
22,0.664
23,0.6901
24,0.7117
25,0.7371
26,0.7514
27,0.7676
28,0.7832
29,0.793
30,0.7948
31,0.8004
32,0.8059
33,0.813
34,0.8189
35,0.8267
36,0.8292
37,0.8309
38,0.8378
39,0.8397
40,0.8419
41,0.8444
42,0.8468
43,0.8455
44,0.8499
45,0.8528
46,0.8559
47,0.8572
48,0.8589
49,0.8614
50,0.8628
